cluster_id,n_photos,rank,keyword,tfidf_score
0,39287,1,europe,0.3409
0,39287,2,croixrousse,0.2581
0,39287,3,vieuxlyon,0.2125
0,39287,4,rhônealpes,0.2080
0,39287,5,streetart,0.1787
1,3016,1,partdieu,0.6105
1,3016,2,tour,0.2599
1,3016,3,tower,0.2438
1,3016,4,building,0.2228
1,3016,5,architecture,0.2044
2,5010,1,parcdelatêtedor,0.8448
2,5010,2,parc,0.2834
2,5010,3,dor,0.1615
2,5010,4,tête,0.1467
2,5010,5,park,0.1171
3,70,1,gerland,0.4582
3,70,2,curve,0.2618
3,70,3,line,0.2486
3,70,4,geometry,0.2369
3,70,5,géométrie,0.2369
4,4317,1,confluence,0.8486
4,4317,2,architecture,0.1825
4,4317,3,quartierdelaconfuence,0.1353
4,4317,4,muséedesconfluences,0.1322
4,4317,5,musée,0.1166
5,381,1,japantouch,0.4355
5,381,2,ad200,0.3857
5,381,3,beautybox,0.3588
5,381,4,broncolor,0.3588
5,381,5,godox,0.3588
6,118,1,croixrousse,0.5396
6,118,2,streetart,0.3519
6,118,3,europe,0.2814
6,118,4,fresque,0.2031
6,118,5,wall,0.1971
7,168,1,villeurbanne,0.3081
7,168,2,concrete,0.2576
7,168,3,walls,0.2576
7,168,4,murs,0.2434
7,168,5,kodak,0.2105
8,279,1,villeurbanne,0.8681
8,279,2,gratteciel,0.2978
8,279,3,architecture,0.1437
8,279,4,mairie,0.1208
8,279,5,rhônealpes,0.0875
9,85,1,love,0.3601
9,85,2,photography,0.2796
9,85,3,2010,0.2604
9,85,4,girls,0.2566
9,85,5,canon,0.2283
10,250,1,architecture,0.9893
10,250,2,pentaxart,0.0596
10,250,3,fourvière,0.0566
10,250,4,geo,0.0424
10,250,5,rhônealpes,0.0363
11,153,1,streetart,0.3695
11,153,2,guillotière,0.3483
11,153,3,europe,0.3223
11,153,4,wheatpaper,0.2813
11,153,5,wheatpaste,0.2813
12,342,1,360,0.4393
12,342,2,abodeofchaos,0.3789
12,342,3,demeureduchaos,0.3613
12,342,4,panorama,0.2128
12,342,5,panoramas,0.1759
13,87,1,créditphotosjonathantmare,0.7661
13,87,2,rhônealps,0.5798
13,87,3,villeurbanne,0.1966
13,87,4,live,0.0716
13,87,5,2012,0.0686
14,151,1,saône,0.5833
14,151,2,water,0.2536
14,151,3,pont,0.2282
14,151,4,river,0.2282
14,151,5,eau,0.2079
15,261,1,hudson,0.3081
15,261,2,dance,0.2911
15,261,3,shadows,0.2764
15,261,4,sierra,0.2764
15,261,5,sport,0.2634
16,182,1,auvergnerhônealpes,0.6174
16,182,2,2018,0.3569
16,182,3,holiday,0.2996
16,182,4,euro,0.2869
16,182,5,2016,0.2047
17,189,1,fresque,0.3702
17,189,2,gerland,0.3474
17,189,3,manifestation,0.3415
17,189,4,guillotière,0.3299
17,189,5,gare,0.2101
18,84,1,patrimoine,0.3653
18,84,2,2014,0.2563
18,84,3,saône,0.2563
18,84,4,fourvière,0.2563
18,84,5,river,0.2563
19,277,1,artnouveau,0.3198
19,277,2,lumiere,0.2904
19,277,3,lumière,0.2757
19,277,4,musée,0.2398
19,277,5,museum,0.2398
20,63,1,partdieu,0.3588
20,63,2,graffiti,0.2631
20,63,3,tag,0.2355
20,63,4,gare,0.2350
20,63,5,sncf,0.2220
21,74,1,gerland,0.6299
21,74,2,concert,0.4072
21,74,3,ne,0.2590
21,74,4,music,0.1981
21,74,5,musique,0.1718
22,76,1,gerland,0.4596
22,76,2,sport,0.2772
22,76,3,rhônealpes,0.2449
22,76,4,2010,0.2104
22,76,5,urban,0.1904
23,101,1,rhônealpes,0.8930
23,101,2,lieux,0.1768
23,101,3,metal,0.1768
23,101,4,show,0.1685
23,101,5,live,0.1610
24,108,1,nofilter,0.4994
24,108,2,flickrmobile,0.4520
24,108,3,flickriosapp,0.4520
24,108,4,filter,0.4520
24,108,5,europe,0.1141
25,104,1,artcontemporain,0.7878
25,104,2,biennale,0.3435
25,104,3,dalbera,0.3030
25,104,4,onlylyon,0.2847
25,104,5,installation,0.2072
26,53,1,villeurbanne,0.3203
26,53,2,nikon,0.2446
26,53,3,d40,0.2431
26,53,4,bokeh,0.1945
26,53,5,incity,0.1786
27,126,1,rise,0.7101
27,126,2,xproii,0.4823
27,126,3,sierra,0.2372
27,126,4,hudson,0.1511
27,126,5,streetart,0.1225
28,49,1,culture,0.4441
28,49,2,religion,0.4163
28,49,3,hôtel,0.3545
28,49,4,fourvière,0.3366
28,49,5,restaurant,0.3264
29,52,1,manifestation,0.4949
29,52,2,street,0.1890
29,52,3,aurorahdr,0.1765
29,52,4,flickriosapp,0.1660
29,52,5,filter,0.1660
30,51,1,scooter,0.9562
30,51,2,horse,0.1390
30,51,3,nikon,0.1225
30,51,4,d80,0.1195
30,51,5,nikkor,0.0943
32,45,1,22032013,0.5018
32,45,2,villedelyon,0.4741
32,45,3,lyoncity,0.4741
32,45,4,pont,0.3001
32,45,5,saône,0.2000
34,56,1,boardgame,0.7369
34,56,2,j2s,0.6760
35,14,1,nofilter,0.4295
35,14,2,filter,0.3887
35,14,3,flickriosapp,0.3887
35,14,4,flickrmobile,0.3887
35,14,5,immeubles,0.2970
